datetime,sessionTime,HR
250320201455.236,231.760,105
250320201456.208,232.720,104
250320201457.198,233.720,104
250320201458.293,234.820,104
250320201459.283,235.800,103
250320201500.253,236.780,103
250320201501.226,237.740,103
250320201502.214,238.740,102
250320201503.188,239.700,102
250320201504.305,240.820,100
250320201505.268,241.800,100
250320201506.253,242.780,100
250320201507.235,243.760,100
250320201508.234,244.760,100
250320201509.209,245.720,100
250320201510.198,246.720,100
250320201511.164,247.680,100
250320201512.279,248.800,100
250320201513.248,249.760,100
250320201514.222,250.740,101
250320201515.557,251.300,101
250320201516.298,252.340,101
250320201517.266,253.300,100
250320201518.385,254.420,100
250320201519.190,255.240,100
