datetime,sessionTime,HR
250327213508.738,7.580,80
250327213509.729,8.580,79
250327213510.719,9.560,79
250327213511.751,10.600,81
250327213512.744,11.580,82
250327213513.730,12.580,84
250327213514.720,13.560,85
250327213515.755,14.600,85
250327213516.749,15.600,85
250327213517.736,16.580,85
250327213518.726,17.560,85
250327213519.715,18.560,85
250327213520.752,19.600,86
250327213521.740,20.580,86
250327213522.734,21.580,87
250327213523.723,22.560,87
250327213524.714,23.560,87
250327213525.749,24.600,87
250327213526.736,25.580,87
250327213527.727,26.560,87
250327213528.765,27.600,87
250327213529.751,28.600,87
250327213530.743,29.580,86
250327213531.735,30.580,86
250327213532.724,31.560,85
250327213533.709,32.560,82
250327213534.792,33.640,82
250327213535.827,34.660,82
250327213536.728,35.560,82
250327213537.717,36.560,82
250327213538.748,37.600,82
250327213539.741,38.580,82
250327213540.729,39.580,82
250327213541.721,40.560,83
250327213542.710,41.560,83
250327213543.745,42.580,83
250327213544.733,43.580,83
250327213545.728,44.580,84
250327213546.715,45.560,85
250327213547.753,46.600,86
250327213548.744,47.580,87
250327213549.730,48.580,87
250327213550.726,49.560,88
250327213551.710,50.560,88
250327213552.744,51.580,91
250327213553.738,52.580,92
250327213554.725,53.560,91
250327213555.717,54.560,91
250327213556.751,55.600,91
250327213557.739,56.580,91
250327213558.729,57.580,91
250327213559.722,58.560,91
250327213600.712,59.560,90
250327213601.745,60.580,90
250327213602.737,61.580,91
250327213603.724,62.560,91
250327213604.761,63.600,91
250327213605.753,64.600,91
250327213606.742,65.580,89
250327213607.733,66.580,87
250327213608.723,67.560,88
250327213609.710,68.560,89
250327213610.745,69.580,89
250327213611.739,70.580,88
250327213612.725,71.560,87
250327213613.718,72.560,86
250327213614.754,73.600,86
250327213615.743,74.580,87
250327213616.730,75.580,87
250327213617.769,76.620,87
250327213618.713,77.560,86
250327213619.790,78.640,86
250327213620.740,79.580,86
250327213621.724,80.560,87
250327213622.718,81.560,87
250327213623.797,82.640,87
250327213624.785,83.620,87
250327213625.777,84.620,87
250327213626.720,85.560,87
250327213627.713,86.560,88
250327213628.749,87.600,88
250327213629.737,88.580,88
250327213630.726,89.560,88
250327213631.720,90.560,90
250327213632.754,91.600,90
250327213633.742,92.580,89
250327213634.733,93.580,89
250327213635.721,94.560,89
250327213636.711,95.560,89
250327213637.745,96.580,90
250327213638.737,97.580,91
250327213639.726,98.560,92
250327213640.720,99.560,89
250327213641.750,100.600,87
250327213642.741,101.580,87
250327213643.734,102.580,88
250327213644.720,103.560,89
250327213645.712,104.560,89
250327213646.746,105.580,90
250327213647.738,106.580,90
250327213648.723,107.560,87
250327213649.714,108.560,86
250327213650.751,109.600,86
250327213651.743,110.580,86
250327213652.730,111.580,87
250327213653.724,112.560,87
250327213654.710,113.560,89
250327213655.744,114.580,89
250327213656.736,115.580,91
250327213657.725,116.560,90
250327213658.719,117.560,90
250327213659.754,118.600,91
250327213700.744,119.580,93
250327213701.731,120.580,95
250327213702.723,121.560,97
250327213703.713,122.560,100
250327213704.748,123.580,104
250327213705.734,124.580,107
250327213706.724,125.560,109
250327213707.718,126.560,112
250327213708.751,127.600,113
250327213709.741,128.580,113
250327213710.733,129.580,112
250327213711.721,130.560,111
250327213712.712,131.560,94
250327213713.792,132.640,92
250327213714.782,133.620,91
250327213715.726,134.560,92
250327213716.718,135.560,93
250327213717.750,136.600,94
250327213718.741,137.580,94
250327213719.730,138.580,94
250327213720.720,139.560,95
250327213721.711,140.560,95
250327213722.748,141.600,95
250327213723.735,142.580,88
250327213724.728,143.580,86
250327213725.714,144.560,84
250327213726.750,145.600,84
250327213727.742,146.580,84
250327213728.729,147.580,83
250327213729.720,148.560,83
250327213730.713,149.560,84
250327213731.750,150.600,84
250327213732.739,151.580,84
250327213733.728,152.580,85
250327213734.715,153.560,85
250327213735.754,154.600,86
250327213736.741,155.580,86
250327213737.729,156.580,85
250327213738.718,157.560,84
250327213739.709,158.560,83
250327213740.744,159.580,84
250327213741.734,160.580,85
250327213742.725,161.560,87
250327213743.718,162.560,87
250327213744.751,163.600,86
250327213745.743,164.580,85
250327213746.733,165.580,84
250327213747.722,166.560,83
250327213748.712,167.560,83
250327213749.748,168.600,85
250327213750.733,169.580,87
250327213751.727,170.560,89
250327213752.717,171.560,97
250327213753.753,172.600,99
250327213754.742,173.580,97
250327213755.729,174.580,95
250327213756.765,175.600,93
250327213757.713,176.560,91
250327213758.743,177.580,91
250327213759.737,178.580,92
250327213800.729,179.580,92
250327213801.716,180.560,93
250327213802.839,181.680,93
250327213803.784,182.620,91
250327213804.776,183.620,91
250327213805.719,184.560,92
250327213806.712,185.560,92
250327213807.746,186.580,91
250327213808.738,187.580,91
250327213809.725,188.560,92
250327213810.717,189.560,93
250327213811.750,190.600,92
250327213812.738,191.580,92
250327213813.733,192.580,92
250327213814.723,193.560,92
250327213815.713,194.560,91
250327213816.744,195.580,90
250327213817.734,196.580,90
250327213818.730,197.580,90
250327213819.718,198.560,91
250327213820.705,199.540,91
250327213821.741,200.580,93
250327213822.732,201.580,93
250327213823.721,202.560,92
250327213824.708,203.560,90
250327213825.745,204.580,89
250327213826.737,205.580,88
250327213827.729,206.580,88
250327213828.718,207.560,90
250327213829.707,208.540,91
250327213830.738,209.580,94
250327213831.733,210.580,95
250327213832.723,211.560,96
250327213833.711,212.560,88
250327213834.749,213.600,87
250327213835.738,214.580,85
250327213836.725,215.560,86
250327213837.718,216.560,88
250327213838.749,217.600,90
250327213839.745,218.580,92
250327213840.733,219.580,97
250327213841.724,220.560,97
250327213842.711,221.560,97
250327213843.748,222.580,96
250327213844.739,223.580,94
250327213845.726,224.560,93
250327213846.714,225.560,92
250327213847.707,226.540,92
250327213848.740,227.580,92
250327213849.732,228.580,92
250327213850.720,229.560,91
250327213851.711,230.560,90
250327213852.789,231.640,90
250327213853.782,232.620,90
250327213854.724,233.560,91
250327213855.719,234.560,90
250327213856.704,235.540,88
250327213857.739,236.580,86
250327213858.728,237.580,84
250327213859.721,238.560,83
250327213900.714,239.560,83
